,Model,CV R² (mean),CV R² (std),Train R² (mean),Overfitting Gap,CV RMSE (mean),CV MAE (mean),Fit Time (s)
1,XGBoost,0.9563505677877554,0.0039054981057742265,0.9779025473796276,0.02155197959187216,2064.1184150881386,1410.1542156049745,0.25578899383544923
2,Random Forest,0.9497207634863625,0.0037089147458200284,0.9926572744036658,0.04293651091730333,2216.03014807463,1491.2680452664233,2.097473907470703
3,Gradient Boosting,0.9460063325164754,0.0036560518135052493,0.9532461022140779,0.007239769697602538,2296.6855745598755,1630.4749420335945,1.4478283882141114
4,Linear Regression,0.8771793917393561,0.008499747877121636,0.8792280555065138,0.0020486637671577324,3464.416752369889,2491.9390855549805,0.0257415771484375
5,Ridge,0.8769952731270164,0.00837374484557313,0.8790936980278314,0.0020984249008150213,3467.058453430178,2496.1251336478317,0.02186903953552246
6,Lasso,0.8769433034519334,0.00838902427152642,0.8791148870956622,0.002171583643728825,3467.781833879098,2496.4539037208037,0.10056061744689941
