Model,CV R² (mean),CV R² (std),Test R²,Test RMSE
XGBoost,0.9563505677877554,0.0039054981057742265,0.9600933354327904,1950.4658794177774
XGBoost (Tuned),0.9567559978385948,0.0038391548589215107,0.959055797902706,1975.6583673944576
Random Forest (Tuned),0.9511021727576136,0.00406073900394391,0.9546851343224877,2078.4328149288676
Random Forest,0.9497207634863625,0.0037089147458200284,0.9534458460453318,2106.661998913273
Gradient Boosting,0.9460063325164754,0.0036560518135052493,0.946179243868028,2265.116478380679
Linear Regression,0.8771793917393561,0.008499747877121636,0.8851444931813726,3308.9602747747167
Lasso,0.8769433034519334,0.00838902427152642,0.8849858131423567,3311.2452532332127
Ridge,0.8769952731270164,0.00837374484557313,0.8848932730579084,3312.577094598906
